idx,class,conversation
10,일반 대화,"네 SNS 보면 진짜 가관이다. 허세 좀 그만 부려.
내가 뭘. 그냥 내 일상 올리는 건데.
일상? 매일 명품 사고, 호텔 밥 먹는 게 네 일상이라고?
부러우면 부럽다고 해. 왜 그렇게 비꼬면서 말해.
부러운 게 아니라 한심해서 그래. 네 능력으로 사는 것도 아니잖아.
네가 뭘 안다고 함부로 말해?
척 보면 알지. 네가 그럴 능력이 안 되는 거.
야, 너 진짜 선 넘는다.
선은 네가 먼저 넘었지. 없는 현실 꾸며내느라 애쓴다.
차단할 테니 다시는 연락하지 마.
그래, 제발. 네 허세 보는 거 역겨웠어."
11,일반 대화,"너는 왜 이렇게 눈치가 없냐? 분위기 파악 좀 해.
내가 뭘. 그냥 웃자고 한 소리인데.
지금 웃을 분위기야? 다들 심각한 얘기하고 있는데 혼자 동문서답하고.
아, 그랬어? 난 그냥 분위기 전환 좀 하려고.
전환은 무슨. 갑분싸 만드는 게 네 전문이잖아.
말이 너무 심하네. 나도 좋은 의도로 그런 건데.
좋은 의도면 다 용서가 돼? 네 그 생각 없는 행동 때문에 몇 사람이 피곤해지는지 알아?
알았어, 미안하다. 앞으로는 조용히 있을게.
그래, 제발. 그냥 입 다물고 있는 게 도와주는 거야.
너 진짜 재수 없다.
너보다는 나을걸?"
12,일반 대화,"네가 뭔데 내 연애에 감 놔라 배 놔라야?
아니, 그냥 네가 걱정돼서 하는 말이지.
걱정? '네 애인은 글렀다'고 말하는 게 걱정이야?
솔직히 말해봐. 걔가 너한테 진심인 것 같아?
그걸 네가 어떻게 아는데. 네가 신이라도 돼?
척 보면 모르냐? 그냥 너 이용하는 거잖아.
질투 나서 그러는 거 다 알아. 내가 행복한 게 그렇게 배 아프냐?
미쳤냐? 내가 너를 왜. 그냥 똥인지 된장인지 구분 좀 하라고.
됐어, 너랑은 더 이상 할 말 없어. 내 연애는 내가 알아서 해.
그래, 실컷 데이고 나중에 후회나 하지 마.
너보단 행복할 자신 있거든?"
13,일반 대화,"너는 왜 이렇게 이기적이냐? 네 생각밖에 안 하지?
내가 뭘. 난 항상 널 배려하는데.
배려? 약속 장소 정할 때 봐. 맨날 너네 집 근처잖아.
우리 집 근처에 맛집이 많은 걸 어떡해.
맛집은 무슨. 그냥 네가 움직이기 귀찮은 거잖아.
그렇게 불만이면 네가 정하든가. 맨날 나한테 떠넘기면서.
네가 정하게 만들잖아. 내가 어디 가자고 하면 백 프로 트집 잡을 거면서.
아니거든? 난 합리적인 사람이야.
합리적? 자기중심적인 걸 합리적이라고 포장하지 마.
너 진짜 피곤한 스타일이다. 그냥 각자 갈 길 가자.
그래, 그게 속 편하겠다."
14,일반 대화,"너는 왜 맨날 아는 척이야? 잘 알지도 못하면서.
내가 뭘. 아는 걸 안다고 하는 게 죄냐?
아니, 넌 모르는 것까지 아는 척하잖아. 지난번에도 네가 틀린 정보 알려줘서 망신당했잖아.
그건 내가 잠깐 헷갈린 거고. 사람은 누구나 실수할 수 있어.
실수가 잦으면 그건 그냥 무식한 거야. 제발 모르면 모른다고 해. 그게 더 멋있어.
됐어, 너한테는 이제 아무것도 안 알려줘. 너 잘되라고 알려주는 건데.
그런 도움 필요 없거든? 그냥 가만히나 있어 줘.
와, 진짜 재수 없다.
ㅋㅋ 농담이야. 앞으로는 더 겸손해질게.
그 약속 꼭 지켜라.
노력해볼게."
15,일반 대화,"네가 지난번에 우리 집에 와서 먹고 간 그 과자, 어디 갔는지 알아?
내가 어떻게 알아. 네가 다 먹은 거 아니야?
아니거든? 나 분명히 반쯤 남겨놨는데 감쪽같이 사라졌어.
네가 잠결에 먹었을 수도 있지. 너 가끔 몽유병 있잖아.
몽유병은 무슨. 너 말고 우리 집에 온 사람이 없는데. 솔직히 말해, 네가 먹었지?
아니라니까. 나 진짜 과자 손도 안 댔어.
그럼 대체 내 과자는 어디로 사라진 건데. 귀신이 곡할 노릇이네.
글쎄, 미스터리네.
너 입가에 부스러기 묻어있는 건 알고 있냐?
아, 이건 아까 빵 먹다가.
됐어, 너인 거 다 알아. 그냥 솔직하게 말했다면 화도 안 냈을 텐데.
아니, 진짜 아니라니까.
그래, 끝까지 우겨봐라."
16,일반 대화,"너는 왜 맨날 내가 하는 요리에 그렇게 평가를 못 해서 안달이야?
나는 그냥 솔직한 내 의견을 말하는 것뿐이야. 발전적인 피드백이라고 생각해줘.
발전적인 피드백? '이건 너무 짜다', '저건 너무 달다' 이게 무슨 피드백이야. 그냥 불평이지.
그럼 내가 어떻게 말해줬으면 좋겠는데? 맛없는데 맛있다고 거짓말이라도 할까?
아니, 그냥 '내 입맛에는 조금 짠 것 같아' 이런 식으로 부드럽게 말해줄 수는 없냐고.
아, 그렇게? 알았어. 다음부터는 사회생활 모드로 평가해줄게.
됐어, 그냥 앞으로는 내 요리에 대해 아무 말도 하지 마.
왜? 나는 네가 해준 음식 먹고 솔직하게 말해주는 좋은 친구인데.
그런 친구 필요 없거든? 그냥 조용히 먹기나 해.
알았어, 삐지기는.
안 삐졌거든?"
17,일반 대화,"너 어제 나한테 화낸 거, 솔직히 네가 잘못한 거 맞지?
내가 언제 화를 냈다고 그래. 그냥 내 의견을 좀 강하게 피력한 것뿐이지.
그게 화낸 거잖아. 목소리 높이고 얼굴까지 빨개졌으면서.
그건 네가 내 말을 너무 안 들어주니까 답답해서 그런 거였어.
네 말이 다 맞는 건 아니잖아. 나도 내 생각이 있는 건데, 왜 네 생각만 강요해.
강요한 게 아니라 설득하려고 했던 거지. 그게 더 합리적인 방향이었으니까.
됐어, 아무리 생각해도 그건 네가 나한테 사과해야 할 문제야.
내가 왜 사과를 해. 나는 잘못한 거 없는데.
와, 진짜 끝까지 이렇게 나온다 이거지?
그래, 나는 내 주장에 떳떳해.
알았어, 그럼 나도 너한테 사과 안 해. 평생 그렇게 살아라.
너야말로."
18,일반 대화,"네가 저번에 추천해준 그 미용실, 내 머리를 완전 망쳐놨어.
뭐? 거기 완전 실력 좋은 데인데, 어떻게 된 거야?
실력은 무슨. 내가 보여준 사진이랑 전혀 다른 머리가 나왔다고.
네가 설명을 잘못한 거 아니야? 아니면 네 머릿결이 너무 안 좋아서 그런 걸 수도 있고.
왜 내 탓을 해? 디자이너가 내 말을 제대로 이해도 못 하고 자기 마음대로 잘랐다니까.
이상하다. 내 친구들은 다 거기서 하고 만족했는데.
그럼 나는 뭔데. 나는 왜 이 모양 이 꼴인데.
진정하고 일단 사진 좀 보내봐. 내가 보고 판단해줄게.
됐어, 너한테 보여주기도 창피해. 너 때문에 이게 무슨 고생이냐.
아니, 왜 또 내 탓이야. 나는 그냥 좋은 정보 공유해준 것뿐인데.
앞으로 네 정보는 무조건 거를 거야.
알았어, 마음대로 해. 나만 좋은 데 다니면 되지 뭐."
19,일반 대화,"너는 왜 맨날 내가 사 온 음료수를 네 것처럼 마시는 거야?
친구 사이에 그런 게 어디 있어. 그냥 같이 마시는 거지.
같이 마시는 거랑 허락도 없이 마시는 거랑은 다르지. 내가 아껴 먹으려고 둔 건데.
와, 음료수 하나 가지고 진짜 쪼잔하게 군다.
쪼잔한 게 아니라 소유권의 문제라고. 이건 엄연히 내 돈 주고 산 내 거라고.
알았어, 그렇게 소중한 거면 네 이름이라도 써 붙여놓든가.
그런다고 네가 안 마실 거야? 아니잖아.
당연히 마시지. 이름 써놓으면 더 뺏어 먹고 싶을걸?
와, 너 진짜 양심 없다.
농담이야. 알았어, 다음부터는 꼭 물어보고 마실게.
그 약속, 제발 좀 지켜라.
노력해볼게."
20,일반 대화,"네가 지난번에 우리 집에 와서 내 옷 빌려 입고 그냥 갔지?
아, 맞다. 깜빡하고 그냥 입고 왔네. 미안.
깜빡은 무슨. 일부러 그런 거 다 알아. 그 옷 네가 예쁘다고 했잖아.
아니거든? 진짜 정신이 없어서 그랬어.
됐고, 빨리 가져와. 나 오늘 그거 입고 나가야 된단 말이야.
지금? 나 지금 집에서 완전 먼데.
그럼 택시 타고 와. 네가 잘못한 거니까 네가 책임져야지.
와, 너무한다. 그냥 내일 주면 안 돼?
안돼, 오늘 입어야 한다고. 빨리 와.
알았어, 진짜 인정머리 없네.
너한테 인정 베풀다가 내 옷 다 뺏기게 생겼다.
치사하다, 진짜.
알아, 그러니까 빨리 오기나 해."
21,일반 대화,"너는 왜 맨날 내가 진지하게 얘기하면 그렇게 웃음으로 넘기려고 해?
아니, 웃긴 걸 어떡해. 네가 너무 심각하게 말하니까 오히려 웃겨.
나는 지금 죽을 만큼 힘든데, 그게 웃겨? 너 진짜 사이코패스 아니야?
아니, 그런 뜻이 아니라. 너무 그렇게 문제에 매몰되지 말라는 거지. 좀 가볍게 생각하라고.
가볍게 생각할 문제가 아니라고. 너한테는 남의 일이니까 그렇게 쉽게 말하는 거겠지.
알았어, 미안해. 내가 경솔했다.
됐어, 너한테는 더 이상 아무 말도 안 할래. 어차피 공감도 못 해줄 거면서.
아니야, 이제 진짜 진지하게 들어줄게. 다시 말해봐.
싫어, 이미 말할 기분 다 사라졌어.
아, 왜 그래. 내가 진짜 잘못했다니까.
저리 가, 너 얼굴만 봐도 웃음이 나오려고 해."
22,일반 대화,"너는 왜 맨날 내가 하는 말에 '그게 아니라'면서 반박부터 하고 시작해?
반박이 아니라 정확한 사실을 알려주는 거잖아. 네가 잘못 알고 있는 게 많으니까.
내가 뭘 그렇게 잘못 아는데? 그냥 내 생각을 말하는 것뿐인데.
네 생각이 틀렸을 수도 있잖아. 나는 그걸 바로잡아주고 싶은 거라고.
됐어, 그런 도움 필요 없거든? 그냥 '네 생각은 그렇구나' 하고 넘어가 주면 안 돼?
그건 토론이 아니잖아. 우리는 건전한 토론을 통해 함께 성장해야지.
누가 너랑 성장을 하고 싶대? 나는 그냥 편하게 대화하고 싶은 거라고.
너는 너무 발전이 없어. 항상 제자리에만 머물러 있으려고 하고.
와, 이제는 하다 하다 인신공격까지 하네.
그런 뜻이 아니라.
됐어, 너랑은 더 이상 대화 안 해. 너 혼자 똑똑하게 잘 살아라.
아, 왜 그래. 같이 성장하자니까."
23,일반 대화,"네가 저번에 알려준 그 운동, 따라 하다가 허리 나갈 뻔했어.
뭐? 그게 얼마나 쉬운 동작인데 그걸로 허리가 아프다고?
쉽기는. 네 기준에서나 쉽겠지. 나는 평생 운동 안 해본 사람이란 말이야.
그렇다고 그렇게까지 엄살을 부릴 일이야? 그냥 근육이 좀 놀란 거겠지.
엄살이 아니라고. 진짜 삐끗하는 느낌이 났다니까.
알았어, 그럼 병원이라도 가보든가.
너 때문에 아픈 건데, 네가 병원비를 내줘야 하는 거 아니야?
와, 이제는 하다 하다 나한테 덤터기를 씌우네. 내가 시킨 것도 아니고 네가 하겠다고 한 거잖아.
네가 옆에서 계속하라고 부추겼잖아.
됐어, 너랑은 말이 안 통한다. 그냥 평생 운동하지 말고 살아라.
그래, 그게 내 건강을 지키는 길인 것 같아.
한심하다, 진짜."
24,일반 대화,"너는 왜 맨날 내가 먹을 거 한 입만 달라고 하면 그렇게 벌레 보는 눈으로 쳐다봐?
네 '한 입'이 '한 입'으로 끝나는 걸 본 적이 없어서 그래.
아니거든? 나는 진짜 딱 한 입만 먹어.
지난번에도 그래놓고 내 햄버거 반을 먹었잖아.
그건 햄버거가 너무 맛있어서 나도 모르게 그랬던 거고.
됐어, 너는 그냥 네가 먹고 싶은 건 네 돈 주고 사 먹어.
와, 진짜 치사하다. 친구끼리 정 없게.
너한테 정 줬다가는 내 식비가 두 배로 뛸 것 같아서 안 되겠어.
알았어, 더러워서 안 먹는다.
그래, 제발 그러지 마.
흥, 나중에 네가 내 거 뺏어 먹기만 해봐.
그럴 일 없거든? 나는 너처럼 양심 없지 않아."
25,일반 대화,"네가 지난번에 괜찮다고 했던 그 영화, 내 인생 최악의 영화였어.
뭐? 그 명작을 보고 그런 소리를 한다고? 너 진짜 영화 볼 줄 모르는구나.
볼 줄 모르는 게 아니라, 그냥 그 영화가 쓰레기인 거야. 스토리도 없고, 연기도 발연기고.
네가 편견을 가지고 봐서 그래. 그 영화가 얼마나 깊은 철학적 메시지를 담고 있는데.
철학은 무슨. 그냥 감독이 잘난 척하는 영화더만.
됐어, 너 같은 대중 영화에만 익숙한 사람한테는 너무 어려운 영화였나 보네.
나도 너처럼 허세 가득한 영화 평론가인 척하는 사람이랑은 말 섞기 싫거든?
흥, 너만 손해야. 이런 예술의 세계를 이해하지 못하고 사는 거니까.
그래, 그 예술적인 세계에서 너 혼자 살아라. 나는 그냥 팝콘이나 먹을래.
수준하고는."
26,일반 대화,"너는 왜 맨날 내가 하는 말에 그렇게 꼬투리를 잡아?
꼬투리를 잡는 게 아니라, 논리적 오류를 지적하는 거야.
논리적 오류는 무슨. 그냥 말꼬리 잡고 늘어지는 거잖아.
아니거든? 네 말에는 항상 비약이 너무 심해.
그냥 좀 넘어가 주면 안 돼? 어떻게든 나를 이겨 먹으려고만 하고.
이기려는 게 아니라, 팩트를 바로잡으려는 거지.
됐어, 너랑 대화하면 너무 피곤해. 그냥 내가 다 졌다고 할게.
아니, 승패의 문제가 아니잖아.
아니, 맞아. 너는 그냥 나를 이기는 게 목적인 사람이야.
전혀 아니거든?
됐어, 그만하자. 너랑 더 이상 얘기 안 해."
27,일반 대화,"너 어제 나한테 빌려 간 내 옷, 왜 네 인스타에 네 옷인 척 올렸어?
아, 그거? 그냥 사진이 잘 나왔길래.
잘 나왔으면 내 옷이라고 태그라도 하든가. 왜 아무 말 없이 네 옷처럼 올려.
아, 깜빡했네. 지금이라도 수정할까?
됐어, 이미 애들 다 네 옷인 줄 알잖아.
미안하다. 근데 그 옷 너보다 나한테 더 잘 어울리는 것 같아.
뭐? 야, 그게 지금 할 소리야?
농담이야, 농담. 알았어, 빨리 수정할게.
됐고, 그 옷 당장 가져와.
아, 오늘까지만 입으면 안 돼?
안돼, 빨리 가져와. 너한테 빌려준 내가 바보지.
와, 진짜 치사하다."
28,일반 대화,"너는 왜 맨날 내가 뭐 좀 하려고 하면 와서 그렇게 방해를 해?
내가 언제? 나는 그냥 네가 뭐 하나 궁금해서 본 것뿐인데.
궁금하면 그냥 조용히 보든가. 왜 옆에서 계속 말을 걸고 참견이야.
아니, 네가 하는 방식이 너무 답답해서 그랬지. 더 쉬운 방법이 있는데.
됐어, 나는 내 방식대로 할 거야. 네 도움 필요 없다고.
고집은 진짜. 나중에 후회하지나 마.
후회 안 하거든? 그러니까 제발 저리 좀 가줄래?
알았어, 간다 가. 그렇게 잘났으면 너 혼자 다 해 먹어라.
그래, 너 없이도 충분히 잘할 수 있거든?
두고 보자.
그래, 두고 봐."
29,일반 대화,"네가 저번에 알려준 그 식당, 서비스가 완전 엉망이었어.
왜? 맛은 괜찮지 않았어?
맛이 괜찮으면 뭐해. 주문하는데 30분, 음식 나오는데 30분 걸렸다고.
아, 거기가 좀 바쁘긴 해.
바쁜 수준이 아니야. 그냥 손님을 무시하는 것 같았어.
그래도 맛은 있었잖아.
기분 나빠서 밥이 코로 들어가는지 입으로 들어가는지도 몰랐네.
까다롭기는. 나는 그냥 맛만 있으면 장땡인데.
너는 진짜 둔하다. 어떻게 그런 걸 참고 먹어.
알았어, 다음부터는 서비스 좋은 데로 추천해줄게.
됐어, 그냥 내가 알아서 찾아갈래. 너는 못 믿겠어.
와, 너무한다."
30,일반 대화,"너는 왜 맨날 내가 하는 고민을 그렇게 가볍게 생각해?
가볍게 생각하는 게 아니라, 네가 너무 심각하게 생각하는 거야.
내가 지금 처한 상황이 심각한데, 그럼 심각하게 생각해야지.
아니, 한 발짝 떨어져서 보면 별거 아닌 문제라고.
너한테는 별거 아니겠지. 네 일이 아니니까.
그런 뜻이 아니라. 너무 감정적으로만 파고들지 말라는 거지.
됐어, 너 같은 이성적인 척하는 사람한테는 내 감정을 이해해달라고 한 내가 잘못이지.
아니, 나도 너를 이해하고 싶다고.
이해는 무슨. 그냥 분석하고 있잖아.
답답하다, 진짜.
나도 너 때문에 답답해."
31,일반 대화,"너 어제 우리 모임에서 왜 그렇게 잘난 척했어?
내가 언제? 나는 그냥 내가 아는 사실을 말했을 뿐인데.
아는 사실을 말하는 거랑 잘난 척하는 거랑은 다르지. 다른 사람들은 다 모른다는 듯이 말했잖아.
아니, 나는 그냥 정보를 공유하고 싶었을 뿐이야.
정보 공유는 무슨. 그냥 너 혼자 똑똑한 척하고 싶었던 거겠지.
와, 너 진짜 꼬였다. 사람의 순수한 의도를 왜 그렇게 왜곡해서 받아들여.
순수한 의도? 네 표정은 전혀 순수하지 않았거든?
됐어, 너랑은 말이 안 통한다. 그냥 내가 앞으로는 입 다물고 있을게.
그래, 제발 그래주라. 그게 여러 사람 도와주는 길이야.
흥, 너나 잘해.
나야 잘하고 있지."
32,일반 대화,"너는 왜 맨날 내가 빌려준 물건을 그렇게 함부로 다뤄?
내가 뭘 어쨌다고 그래. 그냥 평범하게 썼을 뿐인데.
평범은 무슨. 네가 쓰고 나면 항상 어디 하나씩은 고장 나 있거나 더러워져 있어.
그건 그냥 물건의 수명이 다 돼서 그런 거지, 왜 내 탓을 해.
멀쩡하던 물건이 네 손만 거치면 수명이 다하냐? 마이너스의 손이야?
말이 너무 심하네. 내가 무슨 파괴의 신도 아니고.
지난번에 빌려 간 내 우산도 살 부러뜨려 먹었잖아.
그건 바람이 너무 세게 불어서 그런 거라니까.
됐어, 너한테는 이제 소중한 물건 절대 안 빌려줄 거야.
와, 진짜 치사하다. 친구끼리 그럴 수 있지.
친구니까 더 조심해서 써야 하는 거 아니야?
알았어, 앞으로는 신주단지 모시듯 다뤄줄게. 됐지?
그 약속, 제발 좀 지켜라."
33,일반 대화,"네가 저번에 노래방에서 내 18번 예약해놓은 거 취소했지?
내가 언제? 나는 그런 적 없는데.
거짓말하지 마. 내가 화장실 갔다 온 사이에 내 노래가 사라지고 네 노래가 등록돼 있었잖아.
그건 기계 오류일 거야. 요즘 노래방 기계들이 이상하더라고.
기계 오류는 무슨. 네가 맨날 내 노래 뺏어 부르는 거 하루 이틀이냐.
아니라니까. 나는 정정당당하게 내 차례에 예약했을 뿐이야.
됐어, 너랑은 같이 노래방 안 가. 너는 그냥 혼자 가서 실컷 불러.
와, 너무한다. 같이 가야 재밌잖아.
너만 재밌겠지. 나는 스트레스만 받아.
알았어, 미안해. 다음부터는 절대 안 그럴게. 대신 네 노래 부를 때 코러스는 넣어줄게.
그것도 하지 마. 더 시끄러워."
34,일반 대화,"너는 왜 맨날 내가 다이어트한다고 하면 옆에서 치킨 먹자고 꼬시는 거야?
네가 어차피 작심삼일 할 거 아니까 미리 구제해주는 거잖아.
구제는 무슨. 그냥 네가 혼자 치킨 먹기 심심해서 그러는 거겠지.
아닌데? 나는 너의 건강을 위해서 그러는 건데. 굶는 다이어트는 몸에 안 좋다고.
누가 굶는대? 나름 건강하게 식단 조절하고 있었거든?
샐러드만 먹는 게 어떻게 건강한 식단이야. 단백질 보충해야지. 치킨은 완전 단백질 덩어리라고.
그런 논리면 그냥 닭가슴살을 먹으면 되잖아. 왜 굳이 튀긴 닭이야.
닭가슴살은 퍽퍽하잖아. 치킨은 맛있고. 기왕이면 맛있는 걸로 단백질 보충하는 게 좋지.
됐어, 너의 그 궤변에 더 이상 안 넘어가. 오늘은 진짜 안 먹을 거야.
알았어, 그럼 나 혼자 먹는다. 황금올리브 반반에 치즈볼 추가해서.
아, 진짜 너 친구 맞아?"
35,일반 대화,"네가 지난번에 우리 집에 와서 내 컴퓨터 멋대로 만졌지?
내가 언제? 나는 그냥 바탕화면 구경만 좀 했는데.
구경은 무슨. 내 인터넷 즐겨찾기 순서가 다 바뀌어 있고, 이상한 프로그램이 깔려 있잖아.
그건 내가 너 편하라고 정리해준 거고, 그 프로그램은 컴퓨터 속도 빠르게 해주는 좋은 거야.
누가 해달랬어? 내 컴퓨터는 내가 알아서 관리한다고.
너 관리 못 하잖아. 맨날 컴퓨터 느리다고 불평하면서.
그래도 이건 아니지. 남의 물건을 왜 허락도 없이 만져.
미안하다. 좋은 의도로 한 건데, 네가 그렇게 생각할 줄은 몰랐네.
됐어, 앞으로 우리 집에선 내 물건에 손대지 마.
알았어, 치사하다.
치사한 게 아니라 당연한 거야."
36,일반 대화,"너는 왜 맨날 내가 영화 보자고 하면 그렇게 재미없는 예술 영화만 고집해?
예술 영화가 왜 재미없어? 너야말로 맨날 터지고 부수는 블록버스터만 좋아하잖아.
블록버스터가 훨씬 재밌거든? 스트레스 확 풀리고.
너는 그냥 아무 생각 없이 영화를 보는구나. 영화는 메시지와 미학적 가치를 음미해야지.
무슨 영화 보면서 공부까지 하냐. 그냥 2시간 동안 즐거우면 되는 거 아니야?
됐어, 너랑은 영화적 소양이 너무 차이 나서 대화가 안 통한다.
나도 너처럼 고상한 척하는 사람이랑은 영화 보기 싫거든?
흥, 너만 손해지. 이런 명작을 놓치고 사는 거니까.
그래, 그 명작 너 혼자 실컷 감상해라. 나는 어벤져스나 다시 볼란다.
수준하고는."
